id,name,group,description,themes,source
199,Ecological and evolutionary traps,Ecology,"Reliable cues become misleading; turtles follow streetlights, insects lay eggs on plastic.",Rules and bureaucracy; Decision making; Adaptation,
200,Niche construction,Ecology,Organisms modify selection pressures acting on themselves and their descendants.,Institutional entrepreneurship; Strategy; Ecosystems and platforms,
201,Ghost of competition past,Ecology,Current non-overlapping niches may reflect a competitive exclusion that ended long ago.,Path dependence; Organizational design; Competitive dynamics,
202,Response diversity and the insurance hypothesis,Ecology,"Species that look functionally redundant respond differently to disturbance, stabilizing function.",Diversity; Resilience; Reliability and safety,
203,Cryptic species complexes,Ecology,What was classified as one species turns out to be several reproductively isolated ones.,Categories and classification; Organizational ecology; Diversity,
204,Ring species,Ecology,"Adjacent populations interbreed all the way around a barrier, but the two ends cannot.",Categories and classification; Organizational identity; Boundaries of the firm,
205,Batesian mimicry,Ecology,A harmless species imitates a dangerous one and benefits only while it stays rare.,Legitimacy; Isomorphism; Impression management,
206,Mullerian mimicry,Ecology,"Several genuinely defended species converge on one warning pattern, sharing the education cost.",Isomorphism; Legitimacy; Categories and classification,
207,Automimicry,Ecology,"Within one species some individuals are toxic and others are not, free-riding on the shared reputation.",Reputation; Trust and opportunism; Legitimacy,
208,Aposematism,Ecology,Conspicuous warning coloration works only if the signal is genuinely backed by cost.,Signaling; Reputation; Legitimacy,
209,Masquerade versus crypsis,Ecology,"Hiding by being invisible differs from hiding by resembling something irrelevant, like a twig.",Impression management; Strategy; Legitimacy,
210,Handicap principle,Ecology,Signals are credible precisely because they are wasteful and unaffordable to weak signalers.,Signaling; Legitimacy; Impression management,
211,Sensory drive,Ecology,"Signals evolve to fit the noise properties of the local channel, diverging across environments.",Communication; Signaling; Adaptation,
212,Fisherian runaway,Ecology,Preference and trait co-evolve into escalating extremes disconnected from any survival benefit.,Competitive dynamics; Isomorphism; Signaling,
213,Punctuated equilibrium,Ecology,Long periods of stasis are interrupted by geologically rapid change.,Organizational change; Adaptation; Temporality and timing,
214,Exaptation,Ecology,Feathers evolved for insulation and were later co-opted for flight.,Routines and capabilities; Innovation; Adaptation,
215,Spandrels,Ecology,Structural byproducts with no original function can later acquire one.,Innovation; Organizational design; Routines and capabilities,
216,Vestigial structures,Ecology,Non-functional remnants persist because removing them costs more than keeping them.,Routines and capabilities; Path dependence; Rules and bureaucracy,
217,Convergent evolution,Ecology,Unrelated lineages independently arrive at near-identical solutions.,Isomorphism; Organizational design; Organizational ecology,
218,Homoplasy,Ecology,Similar traits mislead reconstruction of lineage and relatedness.,Isomorphism; Categories and classification; Path dependence,
219,Specialization dead ends,Ecology,Highly specialized lineages rarely revert and go extinct faster when conditions change.,Routines and capabilities; Adaptation; Organizational decline,
220,Founder effects and bottlenecks,Ecology,Small founding groups fix arbitrary traits that persist for the life of the population.,Imprinting; Entrepreneurship; Path dependence,
221,Genetic drift in small populations,Ecology,In small populations chance dominates selection and useful traits can be lost.,Organizational ecology; Risk and uncertainty; Competitive dynamics,
222,Bet hedging,Ecology,"Seeds germinate across multiple years, lowering mean success but reducing variance across generations.",Risk and uncertainty; Exploration and exploitation; Resource allocation,
223,Terminal investment,Ecology,Organisms facing death increase reproductive effort sharply.,Organizational decline; Agency and incentives; Resource allocation,
224,Phenological mismatch,Ecology,Partners that once synchronized now respond to different cues and their timing decouples.,Alliances; Coordination; Temporality and timing,
225,Facilitation cascades,Ecology,"One species creates habitat for a second, which creates habitat for a third.",Ecosystems and platforms; Interorganizational networks; Organizational ecology,
226,Trophic downgrading,Ecology,The loss of large apex organisms destabilizes systems in ways visible only decades later.,Organizational decline; Ecosystems and platforms; Risk and uncertainty,
227,Meiotic drive and selfish genetic elements,Genomic,Genes that bias their own transmission spread even while harming the organism.,Agency and incentives; Power and politics; Governance,
228,Transposable elements and genome defense,Genomic,Mobile parasitic sequences make up much of the genome and require dedicated suppression systems.,Governance; Rules and bureaucracy; Organizational pathology,
229,Genomic imprinting conflict,Genomic,"Maternal and paternal copies of a gene are expressed differently, reflecting opposed parental interests.",Alliances; Governance; Agency and incentives,
230,Wolbachia cytoplasmic incompatibility,Genomic,An inherited bacterium makes uninfected and infected individuals unable to reproduce together.,Mergers and acquisitions; Organizational culture; Alliances,
231,Whole genome duplication,Genomic,"Sudden doubling gives redundant copies, most of which are lost while a few acquire new functions.",Mergers and acquisitions; Routines and capabilities; Exit and divestiture,
232,Subfunctionalization,Genomic,"Duplicate genes each lose part of the ancestral function, so both become necessary.",Modularity; Routines and capabilities; Resource dependence,
233,Pseudogenes,Genomic,Broken duplicates persist in the genome and are occasionally reactivated.,Organizational memory; Routines and capabilities; Path dependence,
234,Muller's ratchet,Genomic,Asexual lineages irreversibly accumulate deleterious mutations with no mechanism to purge them.,Organizational decline; Knowledge transfer; Boundaries of the firm,
235,Evolutionary capacitance,Genomic,"Hsp90 buffers hidden genetic variation, releasing it all at once when stress overwhelms the buffer.",Diversity; Crisis management; Organizational slack,
236,Canalization,Genomic,Development produces the same outcome across a wide range of conditions and perturbations.,Organizational change; Routines and capabilities; Adaptation,
237,Genetic assimilation,Genomic,A trait first induced by the environment becomes genetically fixed and no longer requires the trigger.,Organizational change; Routines and capabilities; Rules and bureaucracy,
238,Baldwin effect,Genomic,Learned behaviors change selection pressures and are gradually encoded.,Organizational learning; Evolutionary theory; Adaptation,
239,Degeneracy,Genomic,"Structurally different components perform the same function, unlike simple redundancy.",Modularity; Resilience; Diversity,
240,Modularity and evolvability,Genomic,"Modular architectures allow change in one part without breaking others, raising the rate of adaptation.",Modularity; Organizational design; Adaptation,
241,Robustness-fragility tradeoff,Genomic,Systems optimized against expected disturbances become acutely fragile to unanticipated ones.,Reliability and safety; Risk and uncertainty; Organizational design,
242,Kleiber's law,Genomic,"Metabolic rate scales sublinearly with mass, so larger organisms need less energy per unit.",Growth and scaling; Organizational design; Resource allocation,
243,Allometry,Genomic,"Parts grow at different rates than the whole, so shape changes systematically with size.",Growth and scaling; Organizational design; Rules and bureaucracy,
244,Heterochrony and paedomorphosis,Genomic,"Shifting developmental timing produces adults that retain juvenile traits, often with more plasticity.",Growth and scaling; Organizational change; Entrepreneurship,
245,Phylogenetic inertia,Genomic,"Available solutions are constrained by ancestry, not by what would be optimal.",Path dependence; Imprinting; Organizational design,
246,Symmorphosis,Genomic,"Capacities across subsystems are matched, with no component built beyond system-level need.",Resource allocation; Organizational design; Routines and capabilities,
247,Homeostasis versus allostasis,Genomic,Stability can be held by defending a set point or by continuously shifting set points in anticipation.,Governance; Adaptation; Decision making,
248,Allostatic load,Genomic,The cumulative physiological cost of repeated adaptive responses eventually damages the system.,Stress and wellbeing; Organizational change; Organizational decline,
249,Hormesis,Genomic,Low doses of a stressor improve function while high doses harm it.,Stress and wellbeing; Adaptation; Resilience,
250,Immunological memory and original antigenic sin,Genomic,"First exposure shapes all later responses, sometimes producing a poorly matched reaction to new threats.",Imprinting; Organizational memory; Crisis management,
251,Clonal selection,Genomic,Cells that happen to match a threat are amplified massively while the rest stay dormant.,Resource allocation; Innovation; Exploration and exploitation,
252,Affinity maturation,Genomic,Antibody genes hypermutate locally and the best binders are iteratively selected within days.,Innovation; Search and attention; Organizational learning,
253,Thymic negative selection,Genomic,Immature immune cells that react against self are destroyed before ever being deployed.,Selection and staffing; Governance; Organizational culture,
254,Autoimmunity,Genomic,Defense systems misidentify the organization's own tissue as foreign and attack it.,Organizational pathology; Governance; Rules and bureaucracy,
255,Chronic inflammation,Genomic,A response that is protective when acute becomes the primary source of damage when persistent.,Organizational pathology; Crisis management; Rules and bureaucracy,
256,Cytokine storm,Genomic,Amplifying feedback among defense signals produces a lethal overreaction to a manageable threat.,Crisis management; Organizational pathology; Reliability and safety,
257,Fever,Genomic,A costly system-wide change is imposed to disadvantage an invader more than the host.,Crisis management; Competitive dynamics; Strategy,
258,Immune tolerance of the fetus,Genomic,The system must actively suppress rejection of a partly foreign entity it is designed to attack.,Mergers and acquisitions; Organizational identity; Governance,
259,Microbiome and gut-brain axis,Genomic,Resident microbes influence host behavior and decision-making through metabolic signaling.,Resource dependence; Decision making; Ecosystems and platforms,
260,Germ-free animal abnormality,Genomic,Animals raised without microbes develop abnormal immune systems and behavior.,Ecosystems and platforms; Organizational learning; Entrepreneurship,
261,Microbiome transplantation,Genomic,Transferring an entire microbial community can resolve conditions no single intervention treats.,Organizational culture; Organizational change; Knowledge transfer,
262,Circadian entrainment and desynchrony,Genomic,Internal clocks free-run near but not exactly at 24 hours and must be reset daily by external cues.,Temporality and timing; Coordination; Stress and wellbeing,
263,Photoperiodism,Genomic,"Organisms plan months ahead using day length, the one cue that never lies, rather than temperature.",Decision making; Temporality and timing; Search and attention,
264,Transgenerational epigenetic inheritance,Genomic,Stress experienced by one generation alters gene regulation in descendants who never experienced it.,Imprinting; Organizational memory; Organizational culture,
265,Countergradient variation,Genomic,"Genetic and environmental effects oppose each other, hiding real differences in the observed phenotype.",Categories and classification; Adaptation; Organizational ecology,
266,Predictive adaptive response,Genomic,Early-life conditions set a developmental trajectory that pays off only if the forecast proves right.,Strategy; Risk and uncertainty; Imprinting,
267,Anticipatory plasticity failure,Genomic,Organisms primed for a predicted environment perform worse than unprimed ones when the prediction fails.,Strategy; Risk and uncertainty; Adaptation,
268,Principle of allocation,Genomic,Energy spent on growth is unavailable for defense or reproduction; no trait is free.,Resource allocation; Strategy; Exploration and exploitation,
269,Semelparity versus iteroparity,Genomic,One catastrophic reproductive event versus repeated modest ones are both stable strategies.,Strategy; Risk and uncertainty; Temporality and timing,
270,Hybrid vigor and hybrid breakdown,Genomic,First-generation crosses outperform both parents; the second generation often collapses.,Mergers and acquisitions; Organizational culture; Temporality and timing,
271,Domestication syndrome,Genomic,Selection for tameness across many species produces the same cluster of unrelated traits.,Selection and staffing; Organizational culture; Diversity,
